,0
elo_rating,0.16761433
points_per_game,0.14439484
previous_wc_finish,0.13712311
confederation_encoded,0.13257664
attack_efficiency,0.12827408
goals_conceded_per_game,0.11042281
goals_scored_per_game,0.09687053
win_percentage_since_last_cup,0.0827237
