team,year,host,confederation,elo_rating,win_percentage_since_last_cup,goals_scored_per_game,goals_conceded_per_game,points_per_game,previous_wc_finish,finish_stage
Sweden,2018,0,UEFA,1795.0,0.5,1.82,0.84,1.66,1.0,4.0
Switzerland,2018,0,UEFA,1878.0,0.65,1.9,0.97,2.06,3.0,3.0
Turkey,2018,0,UEFA,1726.0,0.55,1.45,0.94,1.85,1.0,1.0
Argentina,2018,0,CONMEBOL,1983.0,0.6,2.1,1.0,2.02,6.0,2.0
Brazil,2018,0,CONMEBOL,2130.0,0.68,2.11,0.68,2.22,5.0,4.0
Colombia,2018,0,CONMEBOL,1927.0,0.47,1.63,1.08,1.66,4.0,3.0
Ecuador,2018,0,CONMEBOL,1747.0,0.33,1.48,1.36,1.18,2.0,1.0
Paraguay,2018,0,CONMEBOL,1745.0,0.26,1.0,1.66,1.0,1.0,1.0
Uruguay,2018,0,CONMEBOL,1876.0,0.44,1.47,1.12,1.5,3.0,4.0
Algeria,2018,0,CAF,1505.0,0.5,2.23,1.17,1.7,3.0,1.0
Cabo Verde,2018,0,CAF,1424.0,0.41,1.18,1.14,1.41,1.0,1.0
Congo DR,2018,0,CAF,1378.0,0.57,2.1,1.24,1.9,1.0,1.0
Ivory Coast,2018,0,CAF,1601.0,0.46,1.39,0.95,1.73,2.0,1.0
Egypt,2018,0,CAF,1641.0,0.62,1.59,0.69,2.03,1.0,2.0
Ghana,2018,0,CAF,1617.0,0.43,1.6,0.97,1.57,2.0,1.0
Morocco,2018,0,CAF,1709.0,0.57,1.57,0.51,1.92,1.0,2.0
Senegal,2018,0,CAF,1742.0,0.61,1.67,0.82,2.03,1.0,2.0
South Africa,2018,0,CAF,1542.0,0.4,1.34,0.97,1.57,1.0,1.0
Tunisia,2018,0,CAF,1653.0,0.42,1.58,1.02,1.58,1.0,2.0
Canada,2018,0,CONCACAF,1521.0,0.39,1.33,1.0,1.48,1.0,1.0
Mexico,2018,0,CONCACAF,1858.0,0.59,1.67,0.98,2.03,3.0,2.0
USA,2018,0,CONCACAF,1751.0,0.55,1.98,1.09,1.84,3.0,1.0
Curacao,2018,0,CONCACAF,1267.0,0.47,1.84,1.21,1.58,1.0,1.0
Haiti,2018,0,CONCACAF,1479.0,0.38,1.38,1.65,1.31,1.0,1.0
Panama,2018,0,CONCACAF,1661.0,0.37,1.2,1.19,1.39,1.0,1.0
Australia,2018,0,AFC,1734.0,0.54,2.0,0.97,1.89,2.0,2.0
Iran,2018,0,AFC,1796.0,0.71,2.57,0.69,2.37,2.0,2.0
Iraq,2018,0,AFC,1560.0,0.39,1.44,1.34,1.44,1.0,1.0
Japan,2018,0,AFC,1693.0,0.6,2.35,0.92,2.0,2.0,2.0
Jordan,2018,0,AFC,1467.0,0.52,1.65,0.77,1.77,1.0,1.0
Korea Republic,2018,0,AFC,1760.0,0.63,1.77,0.77,2.09,2.0,2.0
Qatar,2018,0,AFC,1488.0,0.46,1.74,1.15,1.5,1.0,1.0
Saudi Arabia,2018,0,AFC,1570.0,0.56,2.0,1.04,1.81,1.0,2.0
Uzbekistan,2018,0,AFC,1608.0,0.56,1.44,0.94,1.76,1.0,1.0
